Year,Gender,Hispanic,Race,Population,State
2016,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,849",Arizona
2016,Female,Hispanic,Two or More Races,"27,503",Arizona
2017,Male,Non Hispanic,White,"1,909,019",Arizona
2017,Male,Non Hispanic,Black or African American,"157,660",Arizona
2017,Male,Non Hispanic,American Indian and Alaska Native,"136,428",Arizona
2017,Male,Non Hispanic,Asian,"110,491",Arizona
2017,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"7,185",Arizona
2017,Male,Non Hispanic,Two or More Races,"69,867",Arizona
2017,Male,Hispanic,White,"996,815",Arizona
2017,Male,Hispanic,Black or African American,"24,016",Arizona
2017,Male,Hispanic,American Indian and Alaska Native,"48,850",Arizona
2017,Male,Hispanic,Asian,"9,162",Arizona
2017,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"2,996",Arizona
2017,Male,Hispanic,Two or More Races,"28,385",Arizona
2017,Female,Non Hispanic,White,"1,952,948",Arizona
2017,Female,Non Hispanic,Black or African American,"146,117",Arizona
2017,Female,Non Hispanic,American Indian and Alaska Native,"144,473",Arizona
2017,Female,Non Hispanic,Asian,"125,042",Arizona
2017,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"5,896",Arizona
2017,Female,Non Hispanic,Two or More Races,"71,108",Arizona
2017,Female,Hispanic,White,"986,776",Arizona
2017,Female,Hispanic,Black or African American,"24,215",Arizona
2017,Female,Hispanic,American Indian and Alaska Native,"45,904",Arizona
2017,Female,Hispanic,Asian,"9,242",Arizona
2017,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"2,963",Arizona
2017,Female,Hispanic,Two or More Races,"28,450",Arizona
2018,Male,Non Hispanic,White,"1,928,561",Arizona
2018,Male,Non Hispanic,Black or African American,"162,723",Arizona
2018,Male,Non Hispanic,American Indian and Alaska Native,"137,801",Arizona
2018,Male,Non Hispanic,Asian,"112,865",Arizona
2018,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"7,379",Arizona
2018,Male,Non Hispanic,Two or More Races,"72,282",Arizona
2018,Male,Hispanic,White,"1,019,430",Arizona
2018,Male,Hispanic,Black or African American,"24,699",Arizona
2018,Male,Hispanic,American Indian and Alaska Native,"49,926",Arizona
2018,Male,Hispanic,Asian,"9,346",Arizona
2018,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"3,038",Arizona
2018,Male,Hispanic,Two or More Races,"29,334",Arizona
2018,Female,Non Hispanic,White,"1,971,265",Arizona
2018,Female,Non Hispanic,Black or African American,"151,772",Arizona
2018,Female,Non Hispanic,American Indian and Alaska Native,"146,091",Arizona
2018,Female,Non Hispanic,Asian,"128,307",Arizona
2018,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,094",Arizona
2018,Female,Non Hispanic,Two or More Races,"74,028",Arizona
2018,Female,Hispanic,White,"1,009,154",Arizona
2018,Female,Hispanic,Black or African American,"24,955",Arizona
2018,Female,Hispanic,American Indian and Alaska Native,"47,112",Arizona
2018,Female,Hispanic,Asian,"9,410",Arizona
2018,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"3,023",Arizona
2018,Female,Hispanic,Two or More Races,"29,429",Arizona
2019,Male,Non Hispanic,White,"1,948,058",Arizona
2019,Male,Non Hispanic,Black or African American,"168,410",Arizona
2019,Male,Non Hispanic,American Indian and Alaska Native,"139,328",Arizona
2019,Male,Non Hispanic,Asian,"116,546",Arizona
2019,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,"7,616",Arizona
2019,Male,Non Hispanic,Two or More Races,"75,350",Arizona
2019,Male,Hispanic,White,"1,042,274",Arizona
2019,Male,Hispanic,Black or African American,"25,573",Arizona
2019,Male,Hispanic,American Indian and Alaska Native,"50,841",Arizona
2019,Male,Hispanic,Asian,"9,666",Arizona
2019,Male,Hispanic,Native Hawaiian and Other Pacific Islander,"3,123",Arizona
2019,Male,Hispanic,Two or More Races,"30,512",Arizona
2019,Female,Non Hispanic,White,"1,991,632",Arizona
2019,Female,Non Hispanic,Black or African American,"157,367",Arizona
2019,Female,Non Hispanic,American Indian and Alaska Native,"147,653",Arizona
2019,Female,Non Hispanic,Asian,"132,718",Arizona
2019,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,"6,297",Arizona
2019,Female,Non Hispanic,Two or More Races,"77,152",Arizona
2019,Female,Hispanic,White,"1,031,478",Arizona
2019,Female,Hispanic,Black or African American,"25,647",Arizona
2019,Female,Hispanic,American Indian and Alaska Native,"48,081",Arizona
2019,Female,Hispanic,Asian,"9,793",Arizona
2019,Female,Hispanic,Native Hawaiian and Other Pacific Islander,"3,133",Arizona
2019,Female,Hispanic,Two or More Races,"30,469",Arizona
2010,Male,Non Hispanic,White,"599,434",New Hampshire
2010,Male,Non Hispanic,Black or African American,"7,915",New Hampshire
2010,Male,Non Hispanic,American Indian and Alaska Native,"1,408",New Hampshire
2010,Male,Non Hispanic,Asian,"13,653",New Hampshire
2010,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,161,New Hampshire
2010,Male,Non Hispanic,Two or More Races,"8,467",New Hampshire
2010,Male,Hispanic,White,"15,590",New Hampshire
2010,Male,Hispanic,Black or African American,"1,348",New Hampshire
2010,Male,Hispanic,American Indian and Alaska Native,436,New Hampshire
2010,Male,Hispanic,Asian,152,New Hampshire
2010,Male,Hispanic,Native Hawaiian and Other Pacific Islander,99,New Hampshire
2010,Male,Hispanic,Two or More Races,874,New Hampshire
2010,Female,Non Hispanic,White,"617,381",New Hampshire
2010,Female,Non Hispanic,Black or African American,"6,097",New Hampshire
2010,Female,Non Hispanic,American Indian and Alaska Native,"1,319",New Hampshire
2010,Female,Non Hispanic,Asian,"15,167",New Hampshire
2010,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,171,New Hampshire
2010,Female,Non Hispanic,Two or More Races,"8,669",New Hampshire
2010,Female,Hispanic,White,"15,699",New Hampshire
2010,Female,Hispanic,Black or African American,"1,161",New Hampshire
2010,Female,Hispanic,American Indian and Alaska Native,377,New Hampshire
2010,Female,Hispanic,Asian,188,New Hampshire
2010,Female,Hispanic,Native Hawaiian and Other Pacific Islander,97,New Hampshire
2010,Female,Hispanic,Two or More Races,899,New Hampshire
2011,Male,Non Hispanic,White,"598,885",New Hampshire
2011,Male,Non Hispanic,Black or African American,"8,259",New Hampshire
2011,Male,Non Hispanic,American Indian and Alaska Native,"1,386",New Hampshire
2011,Male,Non Hispanic,Asian,"14,487",New Hampshire
2011,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,169,New Hampshire
2011,Male,Non Hispanic,Two or More Races,"8,771",New Hampshire
2011,Male,Hispanic,White,"16,332",New Hampshire
2011,Male,Hispanic,Black or African American,"1,402",New Hampshire
2011,Male,Hispanic,American Indian and Alaska Native,485,New Hampshire
2011,Male,Hispanic,Asian,177,New Hampshire
2011,Male,Hispanic,Native Hawaiian and Other Pacific Islander,109,New Hampshire
2011,Male,Hispanic,Two or More Races,918,New Hampshire
2011,Female,Non Hispanic,White,"616,741",New Hampshire
2011,Female,Non Hispanic,Black or African American,"6,413",New Hampshire
2011,Female,Non Hispanic,American Indian and Alaska Native,"1,327",New Hampshire
2011,Female,Non Hispanic,Asian,"16,141",New Hampshire
2011,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,174,New Hampshire
2011,Female,Non Hispanic,Two or More Races,"8,825",New Hampshire
2011,Female,Hispanic,White,"16,404",New Hampshire
2011,Female,Hispanic,Black or African American,"1,193",New Hampshire
2011,Female,Hispanic,American Indian and Alaska Native,402,New Hampshire
2011,Female,Hispanic,Asian,187,New Hampshire
2011,Female,Hispanic,Native Hawaiian and Other Pacific Islander,101,New Hampshire
2011,Female,Hispanic,Two or More Races,914,New Hampshire
2012,Male,Non Hispanic,White,"598,579",New Hampshire
2012,Male,Non Hispanic,Black or African American,"8,668",New Hampshire
2012,Male,Non Hispanic,American Indian and Alaska Native,"1,413",New Hampshire
2012,Male,Non Hispanic,Asian,"15,271",New Hampshire
2012,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,155,New Hampshire
2012,Male,Non Hispanic,Two or More Races,"9,058",New Hampshire
2012,Male,Hispanic,White,"17,160",New Hampshire
2012,Male,Hispanic,Black or African American,"1,482",New Hampshire
2012,Male,Hispanic,American Indian and Alaska Native,518,New Hampshire
2012,Male,Hispanic,Asian,198,New Hampshire
2012,Male,Hispanic,Native Hawaiian and Other Pacific Islander,109,New Hampshire
2012,Male,Hispanic,Two or More Races,933,New Hampshire
2012,Female,Non Hispanic,White,"616,379",New Hampshire
2012,Female,Non Hispanic,Black or African American,"6,759",New Hampshire
2012,Female,Non Hispanic,American Indian and Alaska Native,"1,323",New Hampshire
2012,Female,Non Hispanic,Asian,"17,094",New Hampshire
2012,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,180,New Hampshire
2012,Female,Non Hispanic,Two or More Races,"9,001",New Hampshire
2012,Female,Hispanic,White,"17,021",New Hampshire
2012,Female,Hispanic,Black or African American,"1,241",New Hampshire
2012,Female,Hispanic,American Indian and Alaska Native,412,New Hampshire
2012,Female,Hispanic,Asian,193,New Hampshire
2012,Female,Hispanic,Native Hawaiian and Other Pacific Islander,109,New Hampshire
2012,Female,Hispanic,Two or More Races,976,New Hampshire
2013,Male,Non Hispanic,White,"598,241",New Hampshire
2013,Male,Non Hispanic,Black or African American,"8,830",New Hampshire
2013,Male,Non Hispanic,American Indian and Alaska Native,"1,432",New Hampshire
2013,Male,Non Hispanic,Asian,"15,971",New Hampshire
2013,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,155,New Hampshire
2013,Male,Non Hispanic,Two or More Races,"9,303",New Hampshire
2013,Male,Hispanic,White,"17,740",New Hampshire
2013,Male,Hispanic,Black or African American,"1,615",New Hampshire
2013,Male,Hispanic,American Indian and Alaska Native,539,New Hampshire
2013,Male,Hispanic,Asian,207,New Hampshire
2013,Male,Hispanic,Native Hawaiian and Other Pacific Islander,113,New Hampshire
2013,Male,Hispanic,Two or More Races,986,New Hampshire
2013,Female,Non Hispanic,White,"615,410",New Hampshire
2013,Female,Non Hispanic,Black or African American,"6,905",New Hampshire
2013,Female,Non Hispanic,American Indian and Alaska Native,"1,333",New Hampshire
2013,Female,Non Hispanic,Asian,"17,882",New Hampshire
2013,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,176,New Hampshire
2013,Female,Non Hispanic,Two or More Races,"9,161",New Hampshire
2013,Female,Hispanic,White,"17,547",New Hampshire
2013,Female,Hispanic,Black or African American,"1,332",New Hampshire
2013,Female,Hispanic,American Indian and Alaska Native,417,New Hampshire
2013,Female,Hispanic,Asian,189,New Hampshire
2013,Female,Hispanic,Native Hawaiian and Other Pacific Islander,106,New Hampshire
2013,Female,Hispanic,Two or More Races,"1,032",New Hampshire
2014,Male,Non Hispanic,White,"600,151",New Hampshire
2014,Male,Non Hispanic,Black or African American,"9,133",New Hampshire
2014,Male,Non Hispanic,American Indian and Alaska Native,"1,453",New Hampshire
2014,Male,Non Hispanic,Asian,"16,733",New Hampshire
2014,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,167,New Hampshire
2014,Male,Non Hispanic,Two or More Races,"9,523",New Hampshire
2014,Male,Hispanic,White,"18,440",New Hampshire
2014,Male,Hispanic,Black or African American,"1,713",New Hampshire
2014,Male,Hispanic,American Indian and Alaska Native,547,New Hampshire
2014,Male,Hispanic,Asian,196,New Hampshire
2014,Male,Hispanic,Native Hawaiian and Other Pacific Islander,106,New Hampshire
2014,Male,Hispanic,Two or More Races,"1,072",New Hampshire
2014,Female,Non Hispanic,White,"616,085",New Hampshire
2014,Female,Non Hispanic,Black or African American,"7,050",New Hampshire
2014,Female,Non Hispanic,American Indian and Alaska Native,"1,340",New Hampshire
2014,Female,Non Hispanic,Asian,"18,639",New Hampshire
2014,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,183,New Hampshire
2014,Female,Non Hispanic,Two or More Races,"9,384",New Hampshire
2014,Female,Hispanic,White,"18,136",New Hampshire
2014,Female,Hispanic,Black or African American,"1,449",New Hampshire
2014,Female,Hispanic,American Indian and Alaska Native,441,New Hampshire
2014,Female,Hispanic,Asian,211,New Hampshire
2014,Female,Hispanic,Native Hawaiian and Other Pacific Islander,103,New Hampshire
2014,Female,Hispanic,Two or More Races,"1,086",New Hampshire
2015,Male,Non Hispanic,White,"599,742",New Hampshire
2015,Male,Non Hispanic,Black or African American,"9,497",New Hampshire
2015,Male,Non Hispanic,American Indian and Alaska Native,"1,448",New Hampshire
2015,Male,Non Hispanic,Asian,"17,609",New Hampshire
2015,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,183,New Hampshire
2015,Male,Non Hispanic,Two or More Races,"9,839",New Hampshire
2015,Male,Hispanic,White,"19,339",New Hampshire
2015,Male,Hispanic,Black or African American,"1,831",New Hampshire
2015,Male,Hispanic,American Indian and Alaska Native,553,New Hampshire
2015,Male,Hispanic,Asian,187,New Hampshire
2015,Male,Hispanic,Native Hawaiian and Other Pacific Islander,109,New Hampshire
2015,Male,Hispanic,Two or More Races,"1,118",New Hampshire
2015,Female,Non Hispanic,White,"614,747",New Hampshire
2015,Female,Non Hispanic,Black or African American,"7,308",New Hampshire
2015,Female,Non Hispanic,American Indian and Alaska Native,"1,344",New Hampshire
2015,Female,Non Hispanic,Asian,"19,400",New Hampshire
2015,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,183,New Hampshire
2015,Female,Non Hispanic,Two or More Races,"9,561",New Hampshire
2015,Female,Hispanic,White,"18,918",New Hampshire
2015,Female,Hispanic,Black or African American,"1,543",New Hampshire
2015,Female,Hispanic,American Indian and Alaska Native,463,New Hampshire
2015,Female,Hispanic,Asian,213,New Hampshire
2015,Female,Hispanic,Native Hawaiian and Other Pacific Islander,103,New Hampshire
2015,Female,Hispanic,Two or More Races,"1,112",New Hampshire
2016,Male,Non Hispanic,White,"600,168",New Hampshire
2016,Male,Non Hispanic,Black or African American,"10,016",New Hampshire
2016,Male,Non Hispanic,American Indian and Alaska Native,"1,454",New Hampshire
2016,Male,Non Hispanic,Asian,"18,332",New Hampshire
2016,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,192,New Hampshire
2016,Male,Non Hispanic,Two or More Races,"10,119",New Hampshire
2016,Male,Hispanic,White,"20,282",New Hampshire
2016,Male,Hispanic,Black or African American,"1,985",New Hampshire
2016,Male,Hispanic,American Indian and Alaska Native,586,New Hampshire
2016,Male,Hispanic,Asian,203,New Hampshire
2016,Male,Hispanic,Native Hawaiian and Other Pacific Islander,113,New Hampshire
2016,Male,Hispanic,Two or More Races,"1,200",New Hampshire
2016,Female,Non Hispanic,White,"615,150",New Hampshire
2016,Female,Non Hispanic,Black or African American,"7,753",New Hampshire
2016,Female,Non Hispanic,American Indian and Alaska Native,"1,356",New Hampshire
2016,Female,Non Hispanic,Asian,"19,922",New Hampshire
2016,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,181,New Hampshire
2016,Female,Non Hispanic,Two or More Races,"9,891",New Hampshire
2016,Female,Hispanic,White,"19,796",New Hampshire
2016,Female,Hispanic,Black or African American,"1,626",New Hampshire
2016,Female,Hispanic,American Indian and Alaska Native,487,New Hampshire
2016,Female,Hispanic,Asian,227,New Hampshire
2016,Female,Hispanic,Native Hawaiian and Other Pacific Islander,107,New Hampshire
2016,Female,Hispanic,Two or More Races,"1,161",New Hampshire
2017,Male,Non Hispanic,White,"600,897",New Hampshire
2017,Male,Non Hispanic,Black or African American,"10,409",New Hampshire
2017,Male,Non Hispanic,American Indian and Alaska Native,"1,483",New Hampshire
2017,Male,Non Hispanic,Asian,"18,620",New Hampshire
2017,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,186,New Hampshire
2017,Male,Non Hispanic,Two or More Races,"10,398",New Hampshire
2017,Male,Hispanic,White,"21,421",New Hampshire
2017,Male,Hispanic,Black or African American,"2,157",New Hampshire
2017,Male,Hispanic,American Indian and Alaska Native,612,New Hampshire
2017,Male,Hispanic,Asian,219,New Hampshire
2017,Male,Hispanic,Native Hawaiian and Other Pacific Islander,127,New Hampshire
2017,Male,Hispanic,Two or More Races,"1,252",New Hampshire
2017,Female,Non Hispanic,White,"616,557",New Hampshire
2017,Female,Non Hispanic,Black or African American,"8,045",New Hampshire
2017,Female,Non Hispanic,American Indian and Alaska Native,"1,360",New Hampshire
2017,Female,Non Hispanic,Asian,"20,239",New Hampshire
2017,Female,Non Hispanic,Native Hawaiian and Other Pacific Islander,175,New Hampshire
2017,Female,Non Hispanic,Two or More Races,"10,142",New Hampshire
2017,Female,Hispanic,White,"20,718",New Hampshire
2017,Female,Hispanic,Black or African American,"1,683",New Hampshire
2017,Female,Hispanic,American Indian and Alaska Native,509,New Hampshire
2017,Female,Hispanic,Asian,243,New Hampshire
2017,Female,Hispanic,Native Hawaiian and Other Pacific Islander,116,New Hampshire
2017,Female,Hispanic,Two or More Races,"1,219",New Hampshire
2018,Male,Non Hispanic,White,"601,487",New Hampshire
2018,Male,Non Hispanic,Black or African American,"10,853",New Hampshire
2018,Male,Non Hispanic,American Indian and Alaska Native,"1,507",New Hampshire
2018,Male,Non Hispanic,Asian,"18,944",New Hampshire
2018,Male,Non Hispanic,Native Hawaiian and Other Pacific Islander,194,New Hampshire
2018,Male,Non Hispanic,Two or More Races,"10,630",New Hampshire
